
query 1: retrieve all 'fashion' products with attributes
product: Sleek Sneakers 236, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Unisex'}
low stock warning: sku prod_2602-Standard-RED has only 4 left.
low stock warning: sku prod_2612-M-NAV has only 4 left.
low stock warning: sku prod_2614-S-GRE has only 3 left.
low stock warning: sku prod_2615-S-WHI has only 2 left.
low stock warning: sku prod_2629-M-RED has only 1 left.
low stock warning: sku prod_2630-XL-NAV has only 1 left.
low stock warning: sku prod_2638-S-BLA has only 3 left.
low stock warning: sku prod_2638-L-GRE has only 2 left.
low stock warning: sku prod_2668-S-BEI has only 4 left.
low stock warning: sku prod_2677-S-NAV has only 0 left.
low stock warning: sku prod_2717-S-GRE has only 4 left.
low stock warning: sku prod_2720-S-NAV has only 0 left.
low stock warning: sku prod_2722-Large-NAV has only 4 left.
low stock warning: sku prod_2745 has only 1 left.
low stock warning: sku prod_2746 has only 2 left.
low stock warning: sku prod_2785-Large-GRE has only 1 left.
low stock warning: sku prod_2788-M-GRE has only 3 left.
low stock warning: sku prod_2795-Standard-GRE has only 1 left.
low stock warning: sku prod_2798-L-GRE has only 4 left.
low stock warning: sku prod_2810-XL-BEI has only 4 left.
low stock warning: sku prod_2810-M-NAV has only 3 left.
low stock warning: sku prod_2820-Large-BEI has only 2 left.
low stock warning: sku prod_2856 has only 2 left.
low stock warning: sku prod_2873-M-WHI has only 3 left.
low stock warning: sku prod_2880-M-BEI has only 0 left.
low stock warning: sku prod_2890-M-BEI has only 3 left.
low stock warning: sku prod_2892-M-RED has only 4 left.
low stock warning: sku prod_2892-L-NAV has only 2 left.
low stock warning: sku prod_2908-L-BEI has only 0 left.
low stock warning: sku prod_2921-S-NAV has only 2 left.
low stock warning: sku prod_2934-S-BEI has only 3 left.
low stock warning: sku prod_2934-S-RED has only 3 left.
low stock warning: sku prod_2937-Large-GRE has only 1 left.
low stock warning: sku prod_2937-Standard-WHI has only 1 left.
low stock warning: sku prod_2938-L-BLA has only 1 left.
low stock warning: sku prod_2938-XL-GRE has only 4 left.
low stock warning: sku prod_2943-XL-WHI has only 2 left.
low stock warning: sku prod_2943-XL-BEI has only 1 left.
low stock warning: sku prod_2960 has only 1 left.
low stock warning: sku prod_2975-L-NAV has only 2 left.
low stock warning: sku prod_2981-M-RED has only 0 left.
low stock warning: sku prod_2982 has only 3 left.
low stock warning: sku prod_2983 has only 0 left.
low stock warning: sku prod_3018-M-NAV has only 0 left.
low stock warning: sku prod_3026-M-WHI has only 2 left.
low stock warning: sku prod_3063-L-BEI has only 1 left.
low stock warning: sku prod_3074-M-BLA has only 2 left.
low stock warning: sku prod_3074-XL-WHI has only 1 left.
low stock warning: sku prod_3074-XL-RED has only 3 left.
low stock warning: sku prod_3077-L-GRE has only 0 left.
low stock warning: sku prod_3079-M-RED has only 1 left.
low stock warning: sku prod_3103 has only 4 left.
low stock warning: sku prod_3107-M-NAV has only 0 left.
low stock warning: sku prod_3126-Large-GRE has only 3 left.
low stock warning: sku prod_3126-Large-RED has only 1 left.
low stock warning: sku prod_3126-Standard-BLA has only 2 left.
low stock warning: sku prod_3128-XL-BEI has only 1 left.
low stock warning: sku prod_3151-L-RED has only 3 left.
low stock warning: sku prod_3172-S-WHI has only 3 left.
low stock warning: sku prod_3179 has only 2 left.
low stock warning: sku prod_3185 has only 1 left.
low stock warning: sku prod_3202-L-BEI has only 2 left.
low stock warning: sku prod_3219 has only 3 left.
low stock warning: sku prod_3222-M-BLA has only 3 left.
low stock warning: sku prod_3232 has only 1 left.
low stock warning: sku prod_3234-M-BLA has only 0 left.
low stock warning: sku prod_3242 has only 3 left.
low stock warning: sku prod_3244-Large-NAV has only 0 left.
low stock warning: sku prod_3256-L-BLA has only 0 left.
low stock warning: sku prod_3273-M-BEI has only 1 left.
low stock warning: sku prod_3282-M-WHI has only 1 left.
low stock warning: sku prod_3287-M-BLA has only 3 left.
low stock warning: sku prod_3327-S-RED has only 2 left.
low stock warning: sku prod_3331-XL-BLA has only 0 left.
low stock warning: sku prod_3364 has only 2 left.
low stock warning: sku prod_3373 has only 2 left.
low stock warning: sku prod_3380-L-GRE has only 0 left.
low stock warning: sku prod_3392-M-GRE has only 2 left.
low stock warning: sku prod_3398-XL-GRE has only 2 left.
low stock warning: sku prod_3403-M-RED has only 2 left.
low stock warning: sku prod_3406-XL-RED has only 0 left.
low stock warning: sku prod_3408-M-BEI has only 0 left.
low stock warning: sku prod_3415-S-WHI has only 3 left.
low stock warning: sku prod_3422-S-BEI has only 2 left.
low stock warning: sku prod_3422-XL-RED has only 1 left.
low stock warning: sku prod_3425-Standard-BLA has only 1 left.
low stock warning: sku prod_3425-Large-BLA has only 4 left.
low stock warning: sku prod_3443-Standard-WHI has only 2 left.
low stock warning: sku prod_3444-Standard-BLA has only 2 left.
low stock warning: sku prod_3453-Standard-BEI has only 4 left.
low stock warning: sku prod_3463-Large-BEI has only 3 left.
low stock warning: sku prod_3487-Standard-GRE has only 0 left.
low stock warning: sku prod_3500-L-BEI has only 1 left.
low stock warning: sku prod_3508-M-BEI has only 4 left.
low stock warning: sku prod_3509-Standard-NAV has only 3 left.
low stock warning: sku prod_3517-L-GRE has only 2 left.
low stock warning: sku prod_3520-L-GRE has only 2 left.
low stock warning: sku prod_3523-S-NAV has only 0 left.
low stock warning: sku prod_3525-XL-NAV has only 2 left.
low stock warning: sku prod_3586 has only 3 left.
low stock warning: sku prod_3527-XL-WHI has only 3 left.
low stock warning: sku prod_3545 has only 4 left.
low stock warning: sku prod_3556-M-RED has only 2 left.
low stock warning: sku prod_3570-M-GRE has only 2 left.
low stock warning: sku prod_3570-XL-BEI has only 4 left.
low stock warning: sku prod_3597 has only 1 left.
low stock warning: sku prod_3613-L-BLA has only 1 left.
low stock warning: sku prod_3615-Standard-BLA has only 3 left.
low stock warning: sku prod_3620-L-RED has only 0 left.
low stock warning: sku prod_3625-L-WHI has only 3 left.
low stock warning: sku prod_3652-Standard-NAV has only 3 left.
low stock warning: sku prod_3654-XL-NAV has only 4 left.
low stock warning: sku prod_3663-Standard-RED has only 3 left.
low stock warning: sku prod_3680-Large-RED has only 0 left.
low stock warning: sku prod_3682-XL-WHI has only 1 left.
low stock warning: sku prod_3697-Large-GRE has only 1 left.
low stock warning: sku prod_3702-M-WHI has only 1 left.
low stock warning: sku prod_3713-L-WHI has only 0 left.
low stock warning: sku prod_3719-L-GRE has only 0 left.
low stock warning: sku prod_3737-M-GRE has only 3 left.
low stock warning: sku prod_3742-Standard-BEI has only 3 left.
low stock warning: sku prod_3749-S-BLA has only 4 left.
low stock warning: sku prod_3750-XL-BLA has only 0 left.
low stock warning: sku prod_3771-Large-BLA has only 1 left.
low stock warning: sku prod_3776 has only 1 left.
low stock warning: sku prod_3786-L-BLA has only 0 left.
low stock warning: sku prod_3788-L-BLA has only 2 left.
low stock warning: sku prod_3796-Large-BLA has only 4 left.
low stock warning: sku prod_3799-S-WHI has only 3 left.
low stock warning: sku prod_3819-XL-NAV has only 0 left.
low stock warning: sku prod_3827-S-RED has only 0 left.
low stock warning: sku prod_3837 has only 2 left.
low stock warning: sku prod_3843-M-BEI has only 4 left.
low stock warning: sku prod_3844-XL-GRE has only 4 left.
low stock warning: sku prod_3845-Standard-WHI has only 1 left.
low stock warning: sku prod_3845-Large-BEI has only 4 left.
low stock warning: sku prod_3855-M-BLA has only 4 left.
low stock warning: sku prod_3855-XL-WHI has only 0 left.
low stock warning: sku prod_3861 has only 1 left.
low stock warning: sku prod_3863-S-NAV has only 3 left.
low stock warning: sku prod_3869-M-BEI has only 0 left.
low stock warning: sku prod_3902-M-WHI has only 4 left.
low stock warning: sku prod_3916-M-NAV has only 3 left.
low stock warning: sku prod_3925-M-RED has only 3 left.
low stock warning: sku prod_3970-M-WHI has only 1 left.
low stock warning: sku prod_3980 has only 0 left.
low stock warning: sku prod_3990-XL-WHI has only 4 left.
low stock warning: sku prod_3991-L-WHI has only 1 left.
low stock warning: sku prod_3994-L-RED has only 3 left.
low stock warning: sku prod_4000-XL-NAV has only 0 left.
low stock warning: sku prod_4000-L-RED has only 2 left.
low stock warning: sku prod_4000-XL-BLA has only 2 left.
low stock warning: sku prod_4002-XL-GRE has only 3 left.
low stock warning: sku prod_4047-S-WHI has only 2 left.
low stock warning: sku prod_4047-XL-BLA has only 4 left.
low stock warning: sku prod_4062-M-BEI has only 4 left.
low stock warning: sku prod_4063-M-RED has only 2 left.
low stock warning: sku prod_4063-M-WHI has only 1 left.
low stock warning: sku prod_4066-S-BLA has only 1 left.
low stock warning: sku prod_4066-M-NAV has only 0 left.
low stock warning: sku prod_4092-L-GRE has only 3 left.
low stock warning: sku prod_4102-Large-NAV has only 0 left.
low stock warning: sku prod_4103-M-GRE has only 0 left.
low stock warning: sku prod_4135-Large-BEI has only 3 left.
low stock warning: sku prod_4142-M-NAV has only 4 left.
low stock warning: sku prod_4143-M-RED has only 3 left.
low stock warning: sku prod_4149-Standard-NAV has only 0 left.
low stock warning: sku prod_4160 has only 0 left.
low stock warning: sku prod_4169-S-BLA has only 0 left.
low stock warning: sku prod_4201-XL-GRE has only 3 left.
low stock warning: sku prod_4206-S-RED has only 3 left.
low stock warning: sku prod_4226-S-GRE has only 2 left.
low stock warning: sku prod_4232-XL-RED has only 3 left.
low stock warning: sku prod_4234-Standard-RED has only 3 left.
low stock warning: sku prod_4259-M-NAV has only 1 left.
low stock warning: sku prod_4265-XL-WHI has only 2 left.
low stock warning: sku prod_4291-L-GRE has only 4 left.
low stock warning: sku prod_4294 has only 4 left.
low stock warning: sku prod_4309-S-WHI has only 2 left.
low stock warning: sku prod_4314 has only 4 left.
low stock warning: sku prod_4343-Large-WHI has only 0 left.
low stock warning: sku prod_4345-M-RED has only 0 left.
low stock warning: sku prod_4345-L-BEI has only 1 left.
low stock warning: sku prod_4348-S-WHI has only 4 left.
low stock warning: sku prod_4358-XL-NAV has only 1 left.
low stock warning: sku prod_4365-XL-WHI has only 4 left.
low stock warning: sku prod_4367-L-GRE has only 2 left.
low stock warning: sku prod_4372-S-BEI has only 0 left.
low stock warning: sku prod_4379-M-RED has only 2 left.
low stock warning: sku prod_4381-L-NAV has only 0 left.
low stock warning: sku prod_4402-XL-WHI has only 1 left.
low stock warning: sku prod_4410-Standard-BLA has only 1 left.
low stock warning: sku prod_4419-Large-RED has only 2 left.
low stock warning: sku prod_4420-L-RED has only 4 left.
low stock warning: sku prod_4421 has only 2 left.
low stock warning: sku prod_4465-S-BEI has only 4 left.
low stock warning: sku prod_4473-Large-BEI has only 1 left.
low stock warning: sku prod_4477-S-BEI has only 2 left.
low stock warning: sku prod_4489-M-WHI has only 0 left.
low stock warning: sku prod_4498-S-BEI has only 0 left.
low stock warning: sku prod_4520-L-GRE has only 0 left.
low stock warning: sku prod_4520-L-BEI has only 1 left.
low stock warning: sku prod_4539-L-WHI has only 4 left.
low stock warning: sku prod_4581-S-GRE has only 3 left.
low stock warning: sku prod_4589 has only 2 left.
low stock warning: sku prod_4592-Large-GRE has only 0 left.
low stock warning: sku prod_4600-L-BEI has only 1 left.
low stock warning: sku prod_4601-M-NAV has only 1 left.
low stock warning: sku prod_4604-XL-BLA has only 4 left.
low stock warning: sku prod_4665 has only 2 left.
low stock warning: sku prod_4673-M-GRE has only 0 left.
low stock warning: sku prod_4676-XL-BLA has only 4 left.
low stock warning: sku prod_4680-Standard-NAV has only 1 left.
low stock warning: sku prod_4688-Standard-NAV has only 3 left.
low stock warning: sku prod_4710-S-WHI has only 0 left.
low stock warning: sku prod_4711 has only 1 left.
low stock warning: sku prod_4715-M-NAV has only 2 left.
low stock warning: sku prod_4715-S-BLA has only 2 left.
low stock warning: sku prod_4720-S-BEI has only 3 left.
low stock warning: sku prod_4739 has only 2 left.
low stock warning: sku prod_4740-L-GRE has only 1 left.
low stock warning: sku prod_4740-M-BEI has only 3 left.
low stock warning: sku prod_4779-Standard-BEI has only 2 left.
low stock warning: sku prod_4792-M-NAV has only 1 left.
low stock warning: sku prod_4794-M-RED has only 2 left.
low stock warning: sku prod_4801-L-NAV has only 2 left.
low stock warning: sku prod_4803-XL-BEI has only 2 left.
low stock warning: sku prod_4805-S-BEI has only 4 left.
low stock warning: sku prod_4811 has only 4 left.
low stock warning: sku prod_4816-Standard-NAV has only 3 left.
low stock warning: sku prod_4820-Standard-GRE has only 0 left.
low stock warning: sku prod_4844-XL-RED has only 2 left.
low stock warning: sku prod_4848-M-RED has only 4 left.
low stock warning: sku prod_4851-L-RED has only 3 left.
low stock warning: sku prod_4853-Large-WHI has only 3 left.
low stock warning: sku prod_4877-M-BLA has only 2 left.
low stock warning: sku prod_4879-Large-BEI has only 3 left.
low stock warning: sku prod_4880 has only 3 left.
low stock warning: sku prod_4883-Standard-RED has only 1 left.
low stock warning: sku prod_4883-Large-GRE has only 0 left.
low stock warning: sku prod_4893-XL-GRE has only 3 left.
low stock warning: sku prod_4903-S-BLA has only 4 left.
low stock warning: sku prod_4903-XL-RED has only 3 left.
low stock warning: sku prod_4905-S-BLA has only 3 left.
low stock warning: sku prod_4908-Standard-RED has only 0 left.
low stock warning: sku prod_4913-S-WHI has only 3 left.
low stock warning: sku prod_4913-M-RED has only 2 left.
low stock warning: sku prod_4914 has only 3 left.
low stock warning: sku prod_4920-Standard-NAV has only 2 left.
low stock warning: sku prod_4933-Large-GRE has only 4 left.
low stock warning: sku prod_4935-L-NAV has only 3 left.
low stock warning: sku prod_4935-M-BLA has only 0 left.
low stock warning: sku prod_4958-XL-BEI has only 3 left.
low stock warning: sku prod_4960-S-BLA has only 2 left.
low stock warning: sku prod_4966-M-GRE has only 4 left.
low stock warning: sku prod_4966-L-NAV has only 4 left.
low stock warning: sku prod_4985-XL-NAV has only 3 left.
low stock warning: sku prod_5000-S-BEI has only 2 left.
low stock warning: sku prod_5000-XL-RED has only 1 left.
low stock warning: sku prod_5022-Standard-WHI has only 0 left.
low stock warning: sku prod_5030-Standard-RED has only 1 left.
low stock warning: sku prod_5041-S-GRE has only 1 left.
low stock warning: sku prod_5045-M-GRE has only 3 left.
low stock warning: sku prod_5052-M-GRE has only 3 left.
low stock warning: sku prod_5065-L-BEI has only 4 left.
low stock warning: sku prod_5087-XL-WHI has only 2 left.
low stock warning: sku prod_5110-XL-GRE has only 1 left.
low stock warning: sku prod_5136-Large-WHI has only 1 left.
low stock warning: sku prod_5136-Standard-NAV has only 2 left.
low stock warning: sku prod_5138-M-BEI has only 3 left.
low stock warning: sku prod_5138-M-NAV has only 3 left.
low stock warning: sku prod_5147-XL-RED has only 1 left.
low stock warning: sku prod_5154-Standard-WHI has only 1 left.
low stock warning: sku prod_5168-Standard-WHI has only 1 left.
low stock warning: sku prod_5176-S-RED has only 4 left.
low stock warning: sku prod_5201-Standard-GRE has only 0 left.
low stock warning: sku prod_5201-Large-BLA has only 1 left.
low stock warning: sku prod_5228 has only 2 left.
low stock warning: sku prod_5237-L-BEI has only 0 left.
low stock warning: sku prod_5239-L-BEI has only 4 left.
low stock warning: sku prod_5239-XL-BEI has only 1 left.
low stock warning: sku prod_5251-L-BLA has only 4 left.
low stock warning: sku prod_5265-L-WHI has only 2 left.
low stock warning: sku prod_5275-M-BEI has only 3 left.
low stock warning: sku prod_5275-L-RED has only 1 left.
low stock warning: sku prod_5286-M-RED has only 2 left.
low stock warning: sku prod_5289-L-GRE has only 3 left.
low stock warning: sku prod_5294-XL-GRE has only 4 left.
low stock warning: sku prod_5295-Large-RED has only 2 left.
low stock warning: sku prod_5300-XL-RED has only 4 left.
low stock warning: sku prod_5300-XL-NAV has only 3 left.
low stock warning: sku prod_5302-XL-WHI has only 4 left.
low stock warning: sku prod_5302-L-GRE has only 1 left.
low stock warning: sku prod_5311-Standard-WHI has only 0 left.
low stock warning: sku prod_5323-Large-WHI has only 2 left.
low stock warning: sku prod_5323-Large-NAV has only 3 left.
low stock warning: sku prod_5335-S-BEI has only 2 left.
low stock warning: sku prod_5336-XL-GRE has only 3 left.
low stock warning: sku prod_5350-S-WHI has only 2 left.
low stock warning: sku prod_5351-S-BEI has only 1 left.
low stock warning: sku prod_5360-S-WHI has only 2 left.
low stock warning: sku prod_5369-XL-GRE has only 1 left.
low stock warning: sku prod_5371-M-WHI has only 2 left.
low stock warning: sku prod_5391-S-BEI has only 4 left.
low stock warning: sku prod_5397 has only 3 left.
low stock warning: sku prod_5398-Standard-RED has only 1 left.
low stock warning: sku prod_5402-XL-BLA has only 0 left.
low stock warning: sku prod_5414-Large-WHI has only 1 left.
low stock warning: sku prod_5419-L-RED has only 2 left.
low stock warning: sku prod_5439-M-BLA has only 3 left.
low stock warning: sku prod_5441-XL-GRE has only 0 left.
low stock warning: sku prod_5444-XL-BEI has only 3 left.
low stock warning: sku prod_5452-L-RED has only 0 left.
low stock warning: sku prod_5478-S-RED has only 1 left.
low stock warning: sku prod_5485-Large-WHI has only 0 left.
low stock warning: sku prod_5489-Standard-BLA has only 1 left.
low stock warning: sku prod_5510-Large-BLA has only 4 left.
low stock warning: sku prod_5510-Standard-BLA has only 4 left.
low stock warning: sku prod_5513-L-BLA has only 4 left.
low stock warning: sku prod_5535 has only 1 left.
low stock warning: sku prod_5536-M-RED has only 3 left.
low stock warning: sku prod_5544-Large-RED has only 4 left.
low stock warning: sku prod_5548-M-BLA has only 3 left.
low stock warning: sku prod_5557-S-GRE has only 1 left.
low stock warning: sku prod_5558-Standard-BLA has only 1 left.
low stock warning: sku prod_5561-S-RED has only 1 left.
low stock warning: sku prod_5592 has only 3 left.
low stock warning: sku prod_5618-Standard-BEI has only 3 left.
low stock warning: sku prod_5621-L-GRE has only 2 left.
low stock warning: sku prod_5625-XL-RED has only 2 left.
low stock warning: sku prod_5627-XL-RED has only 3 left.
low stock warning: sku prod_5654-XL-BEI has only 4 left.
low stock warning: sku prod_5655-L-RED has only 3 left.
low stock warning: sku prod_5655-L-WHI has only 0 left.
low stock warning: sku prod_5674-L-RED has only 0 left.
low stock warning: sku prod_5685 has only 2 left.
low stock warning: sku prod_5700-S-RED has only 0 left.
low stock warning: sku prod_5708-XL-RED has only 2 left.
low stock warning: sku prod_5736-XL-BLA has only 1 left.
low stock warning: sku prod_5736-XL-NAV has only 4 left.
low stock warning: sku prod_5764-M-NAV has only 3 left.
low stock warning: sku prod_5771-S-WHI has only 4 left.
low stock warning: sku prod_5774-Large-BEI has only 2 left.
low stock warning: sku prod_5774-Large-GRE has only 4 left.
low stock warning: sku prod_5777-M-NAV has only 4 left.
low stock warning: sku prod_5780-M-BLA has only 4 left.
low stock warning: sku prod_5791-S-BLA has only 0 left.
low stock warning: sku prod_5791-L-GRE has only 3 left.
low stock warning: sku prod_5805-L-RED has only 2 left.
low stock warning: sku prod_5814-S-RED has only 0 left.
low stock warning: sku prod_5815-Standard-RED has only 1 left.
low stock warning: sku prod_5819-Standard-GRE has only 1 left.
low stock warning: sku prod_5827-L-BLA has only 3 left.
low stock warning: sku prod_5834-Standard-RED has only 3 left.
low stock warning: sku prod_5844-S-BEI has only 4 left.
low stock warning: sku prod_5848 has only 4 left.
low stock warning: sku prod_5850-Standard-BEI has only 2 left.
low stock warning: sku prod_5857-S-WHI has only 3 left.
low stock warning: sku prod_5858-S-BEI has only 4 left.
low stock warning: sku prod_5885-L-WHI has only 2 left.
low stock warning: sku prod_5886-M-NAV has only 4 left.
low stock warning: sku prod_5909-S-GRE has only 3 left.
low stock warning: sku prod_5915 has only 3 left.
low stock warning: sku prod_5924-M-NAV has only 1 left.
low stock warning: sku prod_5932 has only 1 left.
low stock warning: sku prod_5937-XL-GRE has only 2 left.
low stock warning: sku prod_5943-XL-GRE has only 0 left.
low stock warning: sku prod_5945-L-BLA has only 4 left.
low stock warning: sku prod_5947-M-WHI has only 3 left.
low stock warning: sku prod_5952-S-RED has only 1 left.
low stock warning: sku prod_5956-L-NAV has only 2 left.
low stock warning: sku prod_5964-L-WHI has only 3 left.
low stock warning: sku prod_5988 has only 2 left.
low stock warning: sku prod_5995-M-RED has only 4 left.
low stock warning: sku prod_5999-S-WHI has only 3 left.
low stock warning: sku prod_6005-S-BEI has only 0 left.
low stock warning: sku prod_6010-XL-NAV has only 4 left.
low stock warning: sku prod_6017-S-BLA has only 3 left.
low stock warning: sku prod_6017-L-NAV has only 4 left.
low stock warning: sku prod_6018-S-BEI has only 2 left.
low stock warning: sku prod_6027-M-GRE has only 3 left.
low stock warning: sku prod_6046-L-GRE has only 0 left.
low stock warning: sku prod_6066-Standard-BLA has only 0 left.
low stock warning: sku prod_6066-Standard-GRE has only 2 left.
low stock warning: sku prod_6068-S-GRE has only 0 left.
low stock warning: sku prod_6094-XL-NAV has only 3 left.
low stock warning: sku prod_6096-M-BLA has only 4 left.
low stock warning: sku prod_6101-L-BEI has only 4 left.
low stock warning: sku prod_6102-M-WHI has only 2 left.
low stock warning: sku prod_6124-XL-RED has only 1 left.
low stock warning: sku prod_6127-Standard-WHI has only 1 left.
low stock warning: sku prod_6180-M-BEI has only 3 left.
low stock warning: sku prod_6186-S-NAV has only 4 left.
low stock warning: sku prod_6188-Standard-WHI has only 3 left.
low stock warning: sku prod_6196-Standard-BEI has only 2 left.
low stock warning: sku prod_6199 has only 3 left.
low stock warning: sku prod_6223-L-WHI has only 1 left.
low stock warning: sku prod_6226-Standard-WHI has only 4 left.
low stock warning: sku prod_6228-Large-BLA has only 1 left.
low stock warning: sku prod_6232-L-BEI has only 3 left.
low stock warning: sku prod_6236-Large-BEI has only 3 left.
low stock warning: sku prod_6245-Standard-NAV has only 3 left.
low stock warning: sku prod_6250 has only 2 left.
low stock warning: sku prod_6264-Standard-RED has only 2 left.
low stock warning: sku prod_6264-Large-BEI has only 4 left.
low stock warning: sku prod_6265-M-WHI has only 3 left.
low stock warning: sku prod_6287-M-BLA has only 1 left.
low stock warning: sku prod_6303-L-GRE has only 0 left.
low stock warning: sku prod_6306-L-BLA has only 2 left.
low stock warning: sku prod_6315-S-NAV has only 1 left.
low stock warning: sku prod_6316-L-BLA has only 3 left.
low stock warning: sku prod_6316-XL-WHI has only 1 left.
low stock warning: sku prod_6328-S-NAV has only 3 left.
low stock warning: sku prod_6329-Standard-WHI has only 4 left.
low stock warning: sku prod_6331 has only 0 left.
low stock warning: sku prod_6350-S-WHI has only 4 left.
low stock warning: sku prod_6352-M-BLA has only 1 left.
low stock warning: sku prod_6353-XL-RED has only 4 left.
low stock warning: sku prod_6354-XL-WHI has only 1 left.
low stock warning: sku prod_6357-XL-NAV has only 4 left.
low stock warning: sku prod_6362-S-NAV has only 1 left.
low stock warning: sku prod_6362-XL-GRE has only 0 left.
low stock warning: sku prod_6363-L-BLA has only 3 left.
low stock warning: sku prod_6376-S-GRE has only 3 left.
low stock warning: sku prod_6381-L-NAV has only 3 left.
low stock warning: sku prod_6433-M-WHI has only 4 left.
low stock warning: sku prod_6444-S-BEI has only 0 left.
low stock warning: sku prod_6444-S-NAV has only 2 left.
low stock warning: sku prod_6449-M-BLA has only 0 left.
low stock warning: sku prod_6449-L-BLA has only 4 left.
low stock warning: sku prod_6453-L-BEI has only 2 left.
low stock warning: sku prod_6476-M-WHI has only 2 left.
low stock warning: sku prod_6480-S-GRE has only 2 left.
low stock warning: sku prod_6483-Standard-NAV has only 4 left.
low stock warning: sku prod_6504-M-BEI has only 4 left.
low stock warning: sku prod_6504-S-WHI has only 3 left.
low stock warning: sku prod_6512-XL-BEI has only 1 left.
low stock warning: sku prod_6537-Standard-GRE has only 4 left.
low stock warning: sku prod_6577-M-WHI has only 4 left.
low stock warning: sku prod_6579-Large-BLA has only 3 left.
low stock warning: sku prod_6582-L-BLA has only 1 left.
low stock warning: sku prod_6595-XL-NAV has only 2 left.
low stock warning: sku prod_6596-L-WHI has only 0 left.
low stock warning: sku prod_6626-Standard-WHI has only 3 left.
low stock warning: sku prod_6632-L-RED has only 0 left.
low stock warning: sku prod_6638-M-NAV has only 1 left.
low stock warning: sku prod_6645-L-GRE has only 3 left.
low stock warning: sku prod_6647-L-BLA has only 1 left.
low stock warning: sku prod_6656-S-GRE has only 0 left.
low stock warning: sku prod_6656-S-WHI has only 1 left.
low stock warning: sku prod_6665-L-RED has only 2 left.
low stock warning: sku prod_6680 has only 3 left.
low stock warning: sku prod_6690-XL-NAV has only 3 left.
low stock warning: sku prod_6705-S-NAV has only 4 left.
low stock warning: sku prod_6712-L-WHI has only 1 left.
low stock warning: sku prod_6731-Large-BEI has only 4 left.
low stock warning: sku prod_6731-Standard-BEI has only 0 left.
low stock warning: sku prod_6748 has only 1 left.
low stock warning: sku prod_6758-L-NAV has only 4 left.
low stock warning: sku prod_6758-M-NAV has only 4 left.
low stock warning: sku prod_6765-XL-WHI has only 4 left.
low stock warning: sku prod_6771-S-WHI has only 0 left.
low stock warning: sku prod_6771-M-NAV has only 1 left.
low stock warning: sku prod_6775-Standard-WHI has only 3 left.
low stock warning: sku prod_6778-Standard-NAV has only 0 left.
low stock warning: sku prod_6782-Large-GRE has only 3 left.
low stock warning: sku prod_6782-Standard-BLA has only 4 left.
low stock warning: sku prod_6797 has only 4 left.
low stock warning: sku prod_6804-Standard-WHI has only 2 left.
low stock warning: sku prod_6811-Large-NAV has only 2 left.
low stock warning: sku prod_6814-Large-WHI has only 4 left.
low stock warning: sku prod_6818-Large-RED has only 4 left.
low stock warning: sku prod_6821-S-WHI has only 2 left.
low stock warning: sku prod_6842-Large-RED has only 0 left.
low stock warning: sku prod_6843-XL-GRE has only 2 left.
low stock warning: sku prod_6847-S-NAV has only 2 left.
low stock warning: sku prod_6853-M-RED has only 0 left.
low stock warning: sku prod_6860-M-BLA has only 3 left.
low stock warning: sku prod_6866-XL-WHI has only 2 left.
low stock warning: sku prod_6877-XL-GRE has only 0 left.
low stock warning: sku prod_6881 has only 2 left.
low stock warning: sku prod_6899-XL-WHI has only 0 left.
low stock warning: sku prod_6909-XL-RED has only 1 left.
low stock warning: sku prod_6912-Large-WHI has only 4 left.
low stock warning: sku prod_6921-L-BLA has only 1 left.
low stock warning: sku prod_6923-XL-BLA has only 1 left.
low stock warning: sku prod_6942-S-NAV has only 3 left.
low stock warning: sku prod_6951-M-RED has only 3 left.
low stock warning: sku prod_6959 has only 1 left.
low stock warning: sku prod_6990-M-RED has only 4 left.
low stock warning: sku prod_7024 has only 2 left.
low stock warning: sku prod_7034-S-BEI has only 4 left.
low stock warning: sku prod_7036-L-GRE has only 3 left.
low stock warning: sku prod_7040-Large-BLA has only 3 left.
low stock warning: sku prod_7052-S-NAV has only 0 left.
low stock warning: sku prod_7060-Standard-NAV has only 3 left.
low stock warning: sku prod_7060-Standard-BEI has only 4 left.
low stock warning: sku prod_7063-S-WHI has only 4 left.
low stock warning: sku prod_7071-XL-GRE has only 3 left.
low stock warning: sku prod_7073-L-BEI has only 1 left.
low stock warning: sku prod_7091 has only 2 left.
low stock warning: sku prod_7095-L-BEI has only 4 left.
low stock warning: sku prod_7096-S-RED has only 1 left.
low stock warning: sku prod_7096-XL-RED has only 1 left.
low stock warning: sku prod_7115-L-NAV has only 0 left.
low stock warning: sku prod_7131-L-BLA has only 0 left.
low stock warning: sku prod_7133 has only 4 left.
low stock warning: sku prod_7161-Large-WHI has only 1 left.
low stock warning: sku prod_7179-Large-BLA has only 3 left.
low stock warning: sku prod_7196-S-WHI has only 1 left.
low stock warning: sku prod_7198-S-GRE has only 3 left.
low stock warning: sku prod_7220-S-GRE has only 2 left.
low stock warning: sku prod_7223-M-BEI has only 1 left.
low stock warning: sku prod_7225-Standard-GRE has only 1 left.
low stock warning: sku prod_7228-M-NAV has only 3 left.
low stock warning: sku prod_7257-M-WHI has only 3 left.
low stock warning: sku prod_7264-S-BEI has only 1 left.
low stock warning: sku prod_7275-XL-BLA has only 2 left.
